anio,fecha,etapa,local,visitante,resultado,slug,tiempo_extra,penales,resultado_penales
2022,20-Nov-2022,"1ra Ronda, Grupo A",Catar,Ecuador,0 - 2,2022_catar_ecuador,False,False,
2022,21-Nov-2022,"1ra Ronda, Grupo B",Inglaterra,Irán,6 - 2,2022_inglaterra_iran,False,False,
2022,21-Nov-2022,"1ra Ronda, Grupo A",Senegal,Paises Bajos,0 - 2,2022_senegal_holanda,False,False,
2022,21-Nov-2022,"1ra Ronda, Grupo B",Estados Unidos,Gales,1 - 1,2022_estados_unidos_gales,False,False,
2022,22-Nov-2022,"1ra Ronda, Grupo C",Argentina,Arabia Saudita,1 - 2,2022_argentina_arabia_saudita,False,False,
2022,22-Nov-2022,"1ra Ronda, Grupo D",Dinamarca,Túnez,0 - 0,2022_dinamarca_tunez,False,False,
2022,22-Nov-2022,"1ra Ronda, Grupo C",México,Polonia,0 - 0,2022_mexico_polonia,False,False,
2022,22-Nov-2022,"1ra Ronda, Grupo D",Francia,Australia,4 - 1,2022_francia_australia,False,False,
2022,23-Nov-2022,"1ra Ronda, Grupo F",Marruecos,Croacia,0 - 0,2022_marruecos_croacia,False,False,
2022,23-Nov-2022,"1ra Ronda, Grupo E",Alemania,Japón,1 - 2,2022_alemania_japon,False,False,
2022,23-Nov-2022,"1ra Ronda, Grupo E",España,Costa Rica,7 - 0,2022_espana_costa_rica,False,False,
2022,23-Nov-2022,"1ra Ronda, Grupo F",Bélgica,Canadá,1 - 0,2022_belgica_canada,False,False,
2022,24-Nov-2022,"1ra Ronda, Grupo G",Suiza,Camerún,1 - 0,2022_suiza_camerun,False,False,
2022,24-Nov-2022,"1ra Ronda, Grupo H",Uruguay,Corea del Sur,0 - 0,2022_uruguay_corea_del_sur,False,False,
2022,24-Nov-2022,"1ra Ronda, Grupo H",Portugal,Ghana,3 - 2,2022_portugal_ghana,False,False,
2022,24-Nov-2022,"1ra Ronda, Grupo G",Brasil,Serbia,2 - 0,2022_brasil_serbia,False,False,
2022,25-Nov-2022,"1ra Ronda, Grupo B",Gales,Irán,0 - 2,2022_gales_iran,False,False,
2022,25-Nov-2022,"1ra Ronda, Grupo A",Catar,Senegal,1 - 3,2022_catar_senegal,False,False,
2022,25-Nov-2022,"1ra Ronda, Grupo A",Paises Bajos,Ecuador,1 - 1,2022_holanda_ecuador,False,False,
2022,25-Nov-2022,"1ra Ronda, Grupo B",Inglaterra,Estados Unidos,0 - 0,2022_inglaterra_estados_unidos,False,False,
2022,26-Nov-2022,"1ra Ronda, Grupo D",Túnez,Australia,0 - 1,2022_tunez_australia,False,False,
2022,26-Nov-2022,"1ra Ronda, Grupo C",Polonia,Arabia Saudita,2 - 0,2022_polonia_arabia_saudita,False,False,
2022,26-Nov-2022,"1ra Ronda, Grupo D",Francia,Dinamarca,2 - 1,2022_francia_dinamarca,False,False,
2022,26-Nov-2022,"1ra Ronda, Grupo C",Argentina,México,2 - 0,2022_argentina_mexico,False,False,
2022,27-Nov-2022,"1ra Ronda, Grupo E",Japón,Costa Rica,0 - 1,2022_japon_costa_rica,False,False,
2022,27-Nov-2022,"1ra Ronda, Grupo F",Bélgica,Marruecos,0 - 2,2022_belgica_marruecos,False,False,
